"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Country-lover","A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 8 for medium/low female voice and piano ; Dolls ; Heffle cuckoo fair ; Idlers ; Miscellanie ; Othello ; Songs ; Songs (1935) ; Songs of Walter de la Mare ; Songs of the East ; Why do I love? ; Wind from the South","018168059","Monograph","Notated music","Volume","","","","","","","","Quilter, Roger, 1877-1953 [person] ; Bridges, Robert, 1844-1930 [person] ; Gurney, Ivor, 1890-1937 [person] ; Milford, Robin, 1903-1959 [person] ; Association of English Singers and Speakers [organisation] ; Corp, Ronald [person] ; Shaw, Martin, 1875-1958 [person] ; Bantock, Granville, Sir, 1868-1946 [person] ; Peel, Graham, 1878-1937 [person] ; Shakespeare, William, 1564-1616 [person] ; Kipling, Rudyard, 1865-1936 [person] ; Bantock, Helen F. (Helen Francesca), 1868-1961 [person] ; Somervell, Arthur, 1863-1937 [person] ; Scott, Cyril, 1879-1970 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blunden, Edmund, 1896-1974 [person] ; Belloc, Hilaire, 1870-1953 [person] ; Blake, William, 1757-1827 [person] ; Irvine, John, 1903-1964 [person] ; Prokosch, Frederic, 1908-1989 [person] ; Humphreys, Garry, writer [person] ; Arnold, Matthew, 1822-1888 [person] ; Hugh-Jones, Elaine, 1927- [person] ; Gibbs, C. Armstrong [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; De la Mare, Walter, 1873-1956 [person] ; Cooke, Deryck [person] ; Ephelia, active 1679 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (56 pages), 30 cm","783.442","F.1946.b./8 ; H06/.17213","Blunden, Edmund, 1896-1974--Musical settings ; Song cycles--Excerpts ; Songs (Medium voice) with piano ; Bantock, Helen F. (Helen Francesca), 1868-1961--Musical settings ; Ephelia, active 1679--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; Arnold, Matthew, 1822-1888--Musical settings ; Irvine, John, 1903-1964--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Prokosch, Frederic, 1908-1989--Musical settings ; Songs (Low voice) with piano ; Kipling, Rudyard, 1865-1936--Musical settings ; Blake, William, 1757-1827--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Belloc, Hilaire, 1870-1953--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
"Cradle hymn","3 carols ; Carols. Selections ; Christmas Carmen ; Love came down at Christmas ; Three carols","012201186","Monograph","Notated music","Volume","","","","Darke, Harold","1888-1976","person","","Darke, Harold, 1888-1976 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Whittier, John Greenleaf, 1807-1892 [person]","","","England","London","Stainer & Bell","2002","","1 score (8 pages), 26 cm","782.5281723","E.756.g. (1.)","Carols, English ; Whittier, John Greenleaf, 1807-1892--Musical settings ; Choruses, Sacred (Mixed voices, 4 parts), Unaccompanied ; Sacred songs (Medium voice) with piano ; Rossetti, Christina Georgina, 1830-1894--Musical settings","","English","1st and 3rd works for mixed chorus (SATB) unacc.; 2nd work for solo or unison voices and piano ; Words by Christina Rossetti (1st work) and John Greenleaf Whittier (3rd work)",""
"DG Rossetti and the Art of the Inner Standing-Point","'It once should save as well as kill': DG Rossetti and the Feminine ; A Sort of Aesthetico-Catholic Revival: Christina Rossetti and the London Ritualist Scene ; Christina's Challenge to Victorian Mentality: the Parodic, Unconventional Pattern of 'My Dream' ; Copyright and Control: Christina Rossetti and her Publishers ; In the Footsteps of His Father? Dantean Allegory in Gabriele Rossetti and Dante Gabriel Rossetti ; Introduction ; Maundering Medievalism: Dante Gabriel Rossetti and William Morris's Poetry ; Mystic, Madwoman or Metaphysician?: The Analogical Theodicy of Christina Rossetti ; Outsiders looking in : the Rossettis then and now ; Pews, Periodicals and Politics: The Rossetti Women as High Church Controversialists ; Pursuing the Well-Beloved: Thomas Hardy, Jocelyn Pearston and the School of Rossetti ; Recollections of PB Shelley: William Michael Rossetti, Political Commitment and Literary Capital ; Sibling Cultures ; The Aesthetics of Morbidity: DG Rossetti and Buchanan's The Fleshly School of Poetry ; The Taxman and the Aesthete: the Canon according to William Michael Rossetti ; William Michael and Lucy Rossetti: Outsider Insiders -- The True Cosmopolitans","017990183","Monograph","Language material ; Text","Online resource","GBB702288","","9780857287496 ; 9781843313380","","","","","Clifford, David [person] ; Roussillon, Laurence [person]","Anthem nineteenth century studies","","England","London","Anthem","2004","","1 online resource (xiv, 284 pages), illustrations","700.922","ELD.DS.83792","Poets, English--19th century--Biography ; Cultuurgeschiedenis ; Rossetti, William Michael, 1829-1919 ; Rossetti, Lucy Madox Brown, 1843-1894 ; Rossetti, Christina Georgina, 1830-1894 ; BIOGRAPHY & AUTOBIOGRAPHY--Artists, Architects, Photographers ; Great Britain--Intellectual life--19th century ; Arts, English--19th century ; English literature ; Italians--Great Britain--History--19th century ; Rossetti, Dante Gabriel, 1828-1882 ; Victoriaanse tijd ; Critics ; Critics--Great Britain--Biography ; Painters ; Rossetti family ; Painters--Great Britain--Biography ; English literature--19th century--History and criticism","Biography ; Criticsm and interpretation ; History","English","",""
"Dancing on the hilltops : unison treble voices and piano : from Ten children's songs opus 1","Children's songs. Dancing on the hilltops","005252646","Monograph","Notated music","Volume","","","","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","United States of America","New York","Boosey & Hawkes","1984","","4 pages, 27 cm","782.66542","E.352.m. (17.)","Songs for unison soprano voices with piano","","English","Publ. number 6146",""
"De Profundis","Poems, parachute and hand made figure inspired by Felix Baumgartner's jump from the edge of space","016480349","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Object ; Volume","GBB375571","","","Landers, Linda Anne","","person","author","Landers, Linda Anne, author [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England","London","Linda Landers","2013","","1 paper parachute, 1 threaded hand made figure, 1 sheet, 1 pamphlet, colour illustrations, box 18 x 11 cm","709.04082","RF.2013.a.115","Artists' illustrated books--Great Britain","","English","In box with text explaining the bookwork printed inside the lid ; Includes: A folded paper parachute of lightweight Zerkall paper attached to a hand made figure of Felix Baumgartner -- Two short poems by William Blake printed on a tear drop shaped sheet representing the drogue chute -- One poem 'De Profundis' by Christina Rossetti printed in pamphlet form ; Limited edition of 10 copies ; Title devised by cataloguer",""
"Dead in the cold : two-part treble voices and piano : from Ten children's songs opus 1","Children's songs. Dead in the cold","005252651","Monograph","Notated music","Volume","","","","Finzi, Gerald","1901-1956","person","","Finzi, Gerald, 1901-1956 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","","","England ; United States of America","New York","Boosey & Hawkes","1984","","4 pages, 27 cm","782.66542","E.352.m. (20.)","Songs for soprano voices with piano","","English","Publ. number 6149",""
"Death, be not proud","Image in stone (2007) : for mezzo soprano and wind ensemble ; On the beach at night alone ; Sing no sad songs","015642364","Monograph","Notated music","Volume","","","","McNeff, Stephen","","person","composer","Whitman, Walt, 1819-1892 [person] ; McNeff, Stephen, composer [person] ; Donne, John, 1572-1631 [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","International series for wind bands & ensembles","","England","Kenley, Surrey","Maecenas Music","2007","","1 score (55 pages), 30 cm","783.442","G.1504.ll. (3.)","Whitman, Walt, 1819-1892--Musical settings ; Songs (Medium voice) with instrumental ensemble--Scores ; Donne, John, 1572-1631--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Song","English","Duration: approximately 16 min ; For Tim and Hilary Reynish (in memoriam William Reynish 1966-2001) and the Irish Youth Wind Ensemble ; For mezzo soprano, wind ensemble, harp, timpani and percussion ; Words by Anon 1st century Greek, John Donne, Christina Rosetti and Walt Whitman",""
"Die Sprachform der Lyrik Christina Rossettis","Appendix","000992625","Monograph","Language material ; Text","Volume","","","","Dubslaff, Friedrich","","person","","Dubslaff, Friedrich [person] ; Rossetti, Christina Georgina, 1830-1894 [person]","Studien zur Englischen Philologie","Heft 77 [Studien zur Englischen Philologie]","","Halle, Saale","","1933","","vi, 94 pages (8°)","","12981.f.77","","","German","",""
"Discendi, amor santo : SSAA a cappella","","018788864","Monograph","Notated music","Volume","","","","Lamb McCune, Sally","1966-","person","composer","Bianco, da Siena, active 1367 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Lamb McCune, Sally, 1966-, composer [person]","CME in high voice ; Doreen Rao's choral music experience","","United States of America","New York","Boosey & Hawkes","2016","","1 score (8 pages), 27 cm","782.625","F.1147.hh. (10.)","Bianco, da Siena, active 1367--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Sacred music ; Song","English ; Latin","Cover title ; Duration: approximately 3 min ; For unaccompanied chorus of women's voices (SSAA) ; Text by Bianco da Siena and Christina Rossetti",""
"Dolls","A century of English song : an anthology of 20th-century songs compiled and published by The Association of English Singers and Speakers. Volume 8 for medium/low female voice and piano ; Country-lover ; Heffle cuckoo fair ; Idlers ; Miscellanie ; Othello ; Songs ; Songs (1935) ; Songs of Walter de la Mare ; Songs of the East ; Why do I love? ; Wind from the South","018168059","Monograph","Notated music","Volume","","","","","","","","Quilter, Roger, 1877-1953 [person] ; Bridges, Robert, 1844-1930 [person] ; Gurney, Ivor, 1890-1937 [person] ; Milford, Robin, 1903-1959 [person] ; Association of English Singers and Speakers [organisation] ; Corp, Ronald [person] ; Shaw, Martin, 1875-1958 [person] ; Bantock, Granville, Sir, 1868-1946 [person] ; Peel, Graham, 1878-1937 [person] ; Shakespeare, William, 1564-1616 [person] ; Kipling, Rudyard, 1865-1936 [person] ; Bantock, Helen F. (Helen Francesca), 1868-1961 [person] ; Somervell, Arthur, 1863-1937 [person] ; Scott, Cyril, 1879-1970 [person] ; Rossetti, Christina Georgina, 1830-1894 [person] ; Blunden, Edmund, 1896-1974 [person] ; Belloc, Hilaire, 1870-1953 [person] ; Blake, William, 1757-1827 [person] ; Irvine, John, 1903-1964 [person] ; Prokosch, Frederic, 1908-1989 [person] ; Humphreys, Garry, writer [person] ; Arnold, Matthew, 1822-1888 [person] ; Hugh-Jones, Elaine, 1927- [person] ; Gibbs, C. Armstrong [person] ; Coleridge-Taylor, Samuel, 1875-1912 [person] ; De la Mare, Walter, 1873-1956 [person] ; Cooke, Deryck [person] ; Ephelia, active 1679 [person]","","","England","Tewkesbury","Association of English Singers & Speakers ; Goodmusic","2016","","1 score (56 pages), 30 cm","783.442","F.1946.b./8 ; H06/.17213","Blunden, Edmund, 1896-1974--Musical settings ; Song cycles--Excerpts ; Songs (Medium voice) with piano ; Bantock, Helen F. (Helen Francesca), 1868-1961--Musical settings ; Ephelia, active 1679--Musical settings ; Shakespeare, William, 1564-1616--Musical settings ; Arnold, Matthew, 1822-1888--Musical settings ; Irvine, John, 1903-1964--Musical settings ; De la Mare, Walter, 1873-1956--Musical settings ; Prokosch, Frederic, 1908-1989--Musical settings ; Songs (Low voice) with piano ; Kipling, Rudyard, 1865-1936--Musical settings ; Blake, William, 1757-1827--Musical settings ; Bridges, Robert, 1844-1930--Musical settings ; Belloc, Hilaire, 1870-1953--Musical settings ; Rossetti, Christina Georgina, 1830-1894--Musical settings","Excerpt","English","Includes notes on the composers by Garry Humphreys ; Subtitle on cover: An anthology for singers",""
